id,day,weight,gender,liverind,heartind,appind,femstate,gonfatind,batind,sulcer,kmethod,tailind,blength,place,year,ADWBind,gonind,BMI
rat1,67,22,1,0.036364,0.005091,0.013636,4,0,0.001864,1,2,0.714286,10.5,1,5,0.454545454545455,0,0.199546
rat2,251,182,1,0.01044,0.004396,0.008791,4,0.023077,0.000742,3,2,0.666667,19.5,3,3,0.302197802197802,1.64865862558738,0.478632
rat3,230,37.5,1,0.0512,0.006133,0.0208,4,0,0.001467,2,1,0.904762,10.5,2,8,0.653333333333333,0,0.340136
rat4,261,45,2,0.047333,0.005556,0.105111,-1,0.293333,0.002178,1,1,0.869565,11.5,4,2,0.26,2.65324196460722,0.340265
rat5,262,43,1,0.052558,0.005349,0.021628,4,0,0.001884,1,1,0.72,12.5,2,8,0.5,0,0.2752
rat6,169,40,1,0.05725,0.0065,0.014,4,0,0.002925,2,1,0.826087,11.5,2,7,0.575,0,0.302457
rat7,230,50,2,0.0468,0.0048,0.008,-1,0.0028,0.00142,2,1,0.826087,11.5,2,8,0.61,0.131028262406404,0.378072
rat8,261,48,2,0.050208,0.005833,0.010208,-1,0.001854,0.003083,1,1,0.88,12.5,4,2,0.425,0.085259843950823,0.3072
rat9,162,46,1,0.057391,0.00587,0.01413,4,0,0.001348,1,1,0.875,12,2,8,0.434782608695652,0,0.319444
rat10,169,53,1,0.051698,0.004906,0.018491,4,0,0.00134,1,1,0.723077,13,2,7,0.641509433962264,0,0.313609
rat11,217,46,2,0.060652,0.004783,0.013043,-1,0.001239,0.001283,1,1,0.852174,11.5,2,8,0.478260869565217,0.055434706888101,0.347826
rat13,177,47,2,0.061915,0.004681,0.024894,-1,0,0.001489,2,1,0.758333,12,2,8,0.787234042553192,0,0.326389
rat14,177,58,2,0.051724,0.005241,0.010517,-1,0,0.001621,1,1,0.869565,11.5,2,8,0.456896551724138,0,0.438563
rat15,261,59,1,0.050847,0.005085,0.020339,4,0,0.001254,1,1,0.884615,13,4,2,0.313559322033898,0,0.349112
rat16,196,54,2,0.056852,0.00537,0.049444,-1,0.001074,0.000981,2,1,0.692308,13,2,8,0.277777777777778,0.056380333436108,0.319527
rat17,258,58.5,2,0.053504,0.005128,0.013504,-1,0.002222,0.002803,2,1,0.807692,13,2,8,0.974358974358974,0.122217632724249,0.346154
rat18,166,63,2,0.052381,0.006349,0.019048,-1,0.002794,0.002143,1,1,0.75,14,3,3,0.317460317460317,0.162118849476435,0.321429
rat19,162,58,2,0.059138,0.00569,0.023103,-1,0,0.001224,1,1,0.846154,13,2,8,0.344827586206897,0,0.343195
rat20,240,60,2,0.057333,0.005667,0.014833,-1,0,0.001183,1,1,0.807692,13,2,7,0.5,0,0.35503
rat21,177,56,2,0.062321,0.006429,0.010893,-1,0,0.000982,1,1,0.88,12.5,2,8,0.75,0,0.3584
rat22,261,75,1,0.049733,0.004667,0.017467,4,0.0016,0.001733,1,1,0.862069,14.5,4,2,0.266666666666667,0.113328685307003,0.356718
rat24,81,55.9,2,0.069767,0.007156,0.0161,-1,0.000894,0.004866,3,2,0.730769,13,1,5,0.608228980322004,0.048790164169432,0.330769
rat25,354,79.6,2,0.048995,0.006621,0.020101,-1,0,0.003166,5,2,0.677419,15.5,1,4,0.703517587939699,0,0.331322
rat26,269,70.4,1,0.056818,0.005682,0.014205,4,0,0.00179,1,1,0.84,12.5,2,6,0.482954545454545,0,0.45056
rat27,196,68,2,0.060294,0.004265,0.0175,-1,0.001471,0.000882,1,1,0.814815,13.5,2,8,0.419117647058824,0.095310179804325,0.373114
rat28,70,54,1,0.075926,0.005185,0.011296,4,0,0.002852,2,1,0.815385,13,2,9,0.722222222222222,0,0.319527
rat29,258,71,2,0.05831,0.00493,0.008732,-1,0.002535,0.001549,2,1,0.785714,14,2,8,0.732394366197183,0.165514438477573,0.362245
rat30,217,79,1,0.053165,0.005063,0.021266,4,0,0.001316,4,1,0.748299,14.7,2,8,0.246835443037975,0,0.365588
rat31,66,64.5,1,0.066667,0.006202,0.013953,4,0,0.003674,1,2,0.84,12.5,1,5,0.426356589147287,0,0.4128
rat32,162,98,2,0.044694,0.004286,0.022347,-1,0,0.000602,1,1,0.907143,14,2,8,0.545918367346939,0,0.5
rat35,258,74,2,0.068514,0.005,0.016351,-1,0.001486,0.001284,2,1,0.785714,14,2,8,0.601351351351351,0.104360015324243,0.377551
rat36,261,120,1,0.04375,0.004583,0.031667,4,0.010167,0.001408,1,1,0.828571,17.5,4,2,0.325833333333333,0.797507195884188,0.391837
rat37,244,229,1,0.023799,0.003406,0.015895,4,0.008865,0.000825,1,1,0.81,20,2,8,0.320960698689956,1.10856261952128,0.5725
rat38,244,93,2,0.05871,0.005914,0.019032,-1,0.002258,0.001,2,1,0.766667,15,2,8,0.60752688172043,0.19062035960865,0.413333
rat39,244,128,2,0.043047,0.005,0.010234,-1,0.004375,0.001172,1,1,0.860606,16.5,2,8,0.43359375,0.444685821261446,0.470156
rat40,230,153,1,0.036928,0.004183,0.012876,4,0.005686,0.000876,1,1,0.875,16,2,8,0.284313725490196,0.625938430866495,0.597656
rat41,322,88,2,0.064545,0.004886,0.01375,-1,0,0.001739,1,1,0.864286,14,2,8,0.477272727272727,0,0.44898
rat42,251,139,1,0.041727,0.005036,0.010072,4,0.011511,0.000791,2,2,0.828571,17.5,3,3,0.431654676258993,0.955511445027436,0.453878
rat43,251,139,2,0.042446,0.005036,0.013669,-1,0.006475,0.001007,1,2,0.789474,19,3,3,0.273381294964029,0.641853886172395,0.385042
rat44,217,137,1,0.043212,0.003577,0.022044,4,0.006788,0.000759,1,1,0.986667,15,2,8,0.445255474452555,0.657520002916794,0.608889
rat45,12,131.6,2,0.046353,0.005243,0.009119,-1,0.002302,0.001839,3,2,0.818182,16.5,1,3,0.588905775075988,0.264669298142708,0.483379
rat46,12,230.4,1,0.026476,0.00434,0.007812,4,0,0.002092,3,2,0.714286,21,1,3,0.588107638888889,0,0.522449
rat47,169,92,2,0.066957,0.005217,0.003043,-1,0,0.001228,2,1,0.825,16,2,7,0.652173913043478,0,0.359375
rat48,17,123.2,2,0.050325,0.005682,0.013799,-1,0.010877,0.002881,1,2,0.75,18,1,3,0.418019480519481,0.85015092936961,0.380247
rat49,258,121,1,0.051736,0.004959,0.006033,4,0.001405,0.001132,1,1,0.852941,17,2,8,0.466942148760331,0.157003748809665,0.418685
rat50,12,132.4,2,0.047583,0.005483,0.016616,-1,0.001488,0.001684,3,2,0.694444,18,1,3,0.40785498489426,0.179818426575836,0.408642
rat51,169,109,2,0.057982,0.004495,0.015046,-1,0.001927,0.001642,2,1,0.8375,16,2,7,0.564220183486238,0.19062035960865,0.425781
rat52,251,182,2,0.035165,0.004945,0.011538,-1,0.007692,0.000687,2,2,0.837838,18.5,3,3,0.357142857142857,0.8754687373539,0.531775
