id,day,weight,gender,adrenal,liver,heart,appendix,femstate,gonfat,bat,sulcer,kmethod,tail,blength,place,intestine,year,ADWBWind,gonind
rat1,67,22,1,10,0.8,0.112,0.3,4,0,0.041,1,3,7.5,10.5,2, ,5,0.454545455,0
rat2,251,182,1,55,1.9,0.8,1.6,4,4.2,0.135,3,3,13,19.5,1, ,3,0.302197802,1.648658626
rat3,230,37.5,1,24.5,1.92,0.23,0.78,4,0,0.055,2,1,9.5,10.5,3,82,8,0.653333333,0
rat4,261,45,2,11.7,2.13,0.25,4.73, ,13.2,0.098,1,1,10,11.5,9, ,2,0.26,2.653241965
rat5,262,43,1,21.5,2.26,0.23,0.93,4,0,0.081,1,1,9,12.5,3,85,8,0.5,0
rat6,169,40,1,23,2.29,0.26,0.56,4,0,0.117,2,1,9.5,11.5,3,90,7,0.575,0
rat7,230,50,2,30.5,2.34,0.24,0.4, ,0.14,0.071,2,1,9.5,11.5,3,86,8,0.61,0.131028262
rat8,261,48,2,20.4,2.41,0.28,0.49, ,0.089,0.148,1,1,11,12.5,9, ,2,0.425,0.085259844
rat9,162,46,1,20,2.64,0.27,0.65,4,0,0.062,1,1,10.5,12,3,91,8,0.434782609,0
rat10,169,53,1,34,2.74,0.26,0.98,4,0,0.071,1,1,9.4,13,3,91,7,0.641509434,0
rat11,217,46,2,22,2.79,0.22,0.6, ,0.057,0.059,1,1,9.8,11.5,3,100,8,0.47826087,0.055434707
rat12,339,46,1,26.7,2.86,0.21,0.49, ,0,0.029,4,1,10.5,12.5,3,124,6,0.580434783,0
rat13,177,47,2,37,2.91,0.22,1.17, ,0,0.07,2,1,9.1,12,3,87,8,0.787234043,0
rat14,177,58,2,26.5,3,0.304,0.61, ,0,0.094,1,1,10,11.5,3,96,8,0.456896552,0
rat15,261,59,1,18.5,3,0.3,1.2,4,0,0.074,1,1,11.5,13,9, ,2,0.313559322,0
rat16,196,54,2,15,3.07,0.29,2.67, ,0.058,0.053,2,1,9,13,3,88,8,0.277777778,0.056380333
